sentence,cause,effect,is_causal
"Brothers Kobus, Wilhelm and Johan Pretorius, Herman van Rooyen and Rudi Gouws -- who made up the Boeremag 's bomb squad -- were also convicted of murdering Soweto mother Claudia Mokone with a home-made bomb and of trying to murder former president Nelson Mandela.",murdering Soweto mother Claudia Mokone with a home-made bomb and <SIG1>of</SIG1> trying to murder former president Nelson Mandela,"Brothers Kobus, Wilhelm and Johan Pretorius, Herman van Rooyen and Rudi Gouws -- who made up the Boeremag 's bomb squad -- were also convicted",1
"Political Prisoners ' Rights Day today 13th September 2013 08:33 AM The Committee for the Release of Political Prisoners ( CRPP ) is observing September 13 as Political Prisoners Rights Day, commemorating the sacrifice of Shaheed Jitin Das and organising a memorial programme for Maoist idealogue Ganti Prasadam, in Hyderabad on the occasion.",The Committee for the Release of Political Prisoners ( CRPP ) is observing September 13 as Political Prisoners Rights Day,"commemorating the sacrifice of Shaheed Jitin Das and organising a memorial programme for Maoist idealogue Ganti Prasadam, in Hyderabad on the occasion",1
Ganti Prasadam was killed by unidentified miscreants in Nellore a few months ago and it was alleged that the government was behind the killing.,<SIG1>it was alleged that</SIG1> the government was behind the killing,Ganti Prasadam was killed by unidentified miscreants in Nellore a few months ago,1
"Several tribals were also put in jail by police in false cases and Prasadam was fighting for their cause when he was done to death by forces backed by the government, CRPP general secretary Balla Ravindranath said in a press release.",false cases,Several tribals were also put in jail by police,1
"Several tribals were also put in jail by police in false cases and Prasadam was fighting for their cause when he was done to death by forces backed by the government, CRPP general secretary Balla Ravindranath said in a press release.",Prasadam was fighting for their cause,he was done to death by forces backed by the government,1
"In 1929, demanding that the British government recognise the freedom fighters in jails as political prisoners, Bhagat Singh and his comrades staged protests in jail.", demanding that the British government recognise the freedom fighters in jails as political prisoners,Bhagat Singh and his comrades staged protests in jail,1
"Jitin Das, among them, resorted to fast unto death and died on the 63rd day of his fast ( September 13 ), he said.","Jitin Das, among them, resorted to fast unto death",died on the 63rd day of his fast ( September 13 ),1
""" Based on specific inputs, security forces cordoned off a house and that resulted in an encounter with the militant first opening fire on the security team, "" Kokrajhar police chief P.K. Dutta said.",security forces cordoned off a house,an encounter with the militant first opening fire on the security team,1
"Security measures tightened 12th September 2011 12:39 AM KOCHI : In the wake of the recent Delhi bomb blasts, security measures have been tightened in the city to prevent any untoward happening, said City Police Commissioner, M R Ajith Kumar.",the recent Delhi bomb blasts,security measures have been tightened in the city to prevent any untoward happening,1
"Security measures tightened 12th September 2011 12:39 AM KOCHI : In the wake of the recent Delhi bomb blasts, security measures have been tightened in the city to prevent any untoward happening, said City Police Commissioner, M R Ajith Kumar.", to prevent any untoward happening,security measures have been tightened in the city,1
"Militants follow Afghan model, five killed in attack on BRO - Indian Express Express News Service, Express News Service : Jammu / New Delhi, June 13, Sat Jun 14 2008, 00:45 hrs In the first major attack on the Border Roads Organization ( BRO ) in Jammu and Kashmir since 1999, five personnel, including a Lieutenant Colonel of a Border Roads Task Force ( BRTF ) team were killed in an ambush by militants in Kishtwar district on Friday evening.",an ambush by militants in Kishtwar district on Friday evening,"five personnel, including a Lieutenant Colonel of a Border Roads Task Force ( BRTF ) team were killed",1
"Army officials said that the five-member team, which included Lt Col Ajay Kumar Verma, GREF engineer S K Singh, a protection force of two Army jawans from the JAKRIF regiment and their driver, was on its way to inspect construction work on the Chattroo-Simthan road when it came under heavy fire.","the five-member team, which included Lt Col Ajay Kumar Verma, GREF engineer S K Singh, a protection force of two Army jawans from the JAKRIF regiment and their driver, was on its way to inspect construction work on the Chattroo-Simthan road",it came under heavy fire,1
Sources said that a group of militants hiding in the area saw the team while they were going beyond Watsar towards Simpthan and laid an ambush on the Chattroo-Simpthan road by blocking it with stones.,blocking it with stones,laid an ambush on the Chattroo-Simpthan road,1
